nama_kosan,lokasi,type_kosan,fasilitas,harga
 Kost Syarifa Tipe C , Cempaka Putih , Putri ,"['WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.575.000 
 Kost Syarifa Tipe A , Cempaka Putih , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.125.000 
 Kost Syarifa Tipe B , Cempaka Putih , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.965.000 
 Kost Beranda Kanaya Tipe A , Senen , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.075.000 
 Kost Rawasari 29 Tipe A , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur']", Rp1.173.000 
 Kost Kramat Tipe D , Johar Baru , Campur ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.075.000 
 Kost Palang Merah 7 Tipe A Cideng , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.601.000 
 Kost Petojo Selatan 3 Tipe A Cideng , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.515.400 
 Kost Bugenvil Tipe B , Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.525.000 
 Kost Tipe C , Kecamatan Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.577.000 
 Kost Pondok Sagre Kepu Tipe A , Kecamatan Senen , Campur ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.265.000 
 Kost 15 Tipe A , Kecamatan Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.115.000 
 Kost Aura Kwitang Tipe A , Senen , Putra ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.405.000 
 Kost 89G Kwitang Tipe D , Senen , Putri ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp925.000 
 Kost Pondok Madani Tipe A , Johar Baru , Campur ,"['WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.195.000 
 Kost Ritha Tipe A , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.210.000 
 Kost Rumah Sagre Tipe B , Kecamatan Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp3.400.600 
 Kost Dwi Warna 18A Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.975.000 
 Kost Tiga Nur Tipe C , Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.375.000 
 Kost Purnama Mangga Dua Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.005.000 
 Kost Cozy Rawasari Tipe B , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.900.000 
 Kost Prospera Living Tipe B , Senen , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.219.160 
 Kost Sofia Thamrin Tipe D , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.965.000 
 Kost Pondok Sagre Kepu Tipe D , Kecamatan Senen , Campur ,"['WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.665.000 
 Kost Kepu 66 Tipe D , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.286.000 
 Kost Dwi Warna 18A Tipe B , Sawah Besar , Campur ,"['WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.675.000 
 Kost 33 Cempaka Baru Tipe D , Kemayoran , Putra ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp800.000 
 Kost Elani Residence Tipe D , Kecamatan Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.497.750 
 Kost Cut Nyak Dien Residence Tipe A , Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.725.000 
 Kost Anisa Kebon Kacang 6 Tipe D , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.450.000 
 Kost Juanda One Tipe B , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.525.000 
 Kost Rap 18A Tipe A , Kemayoran , Campur ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.043.500 
 Kost Bugenvil Tipe G , Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur']", Rp1.237.500 
 Kost Bangau V Tipe A , Kemayoran , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.525.000 
